,ID,Created_at,Text,Media_URL,Location,sentiment
0,9.88218E+17,4/23/2018 0:49,b'@RedSox my Dunkies is stepping up their game\xe2\x9a\xbe\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f #RedSoxNation #redsox #dunkindonuts https://t.co/Hx51HL9Yhx',http://pbs.twimg.com/media/DbbbVoOVwAA8kGo.jpg,"Boston, MA",positive
1,9.88171E+17,4/22/2018 21:41,"b'This was #EspeciallyGood today, @dunkindonuts #DunkinDonuts https://t.co/kNnZLieRkg'",http://pbs.twimg.com/media/DbawTzsWAAQTGrI.jpg,"Alabama, USA",neutral
2,9.88077E+17,4/22/2018 15:29,b'Spring Fling from #DunkinDonuts is what I need~ https://t.co/uuEPBOaN8L',http://pbs.twimg.com/media/DbZbAPfX4AImZAE.jpg,"Chicago, Illinois",positive
3,9.88032E+17,4/22/2018 12:30,b'This momma runs on Dunkin\xe2\x80\x99 #dunkindonuts #alldayeveryday #toyseverywhere @dunkindonuts https://t.co/klE5jLwsko',http://pbs.twimg.com/media/DbYyFhhXUAA9uIW.jpg,"Myrtle Beach, SC",neutral
4,9.87885E+17,4/22/2018 2:43,b'RT @IsItFOO: Another #Starbucks community upload...\n\n#BoycottStarbucks #dunkindonuts #Philly #BlackTwitter https://t.co/O4BDqh4kzc',http://pbs.twimg.com/media/DbUnVNuVMAUdxx-.jpg,"Los Angeles, CA",positive
5,9.87878E+17,4/22/2018 2:15,b'RT @IsItFOO: Another #Starbucks community upload...\n\n#BoycottStarbucks #dunkindonuts #Philly #BlackTwitter https://t.co/O4BDqh4kzc',http://pbs.twimg.com/media/DbUnVNuVMAUdxx-.jpg,"Georgia, USA",positive
6,9.87866E+17,4/22/2018 1:29,b'RT @IsItFOO: Another #Starbucks community upload...\n\n#BoycottStarbucks #dunkindonuts #Philly #BlackTwitter https://t.co/O4BDqh4kzc',http://pbs.twimg.com/media/DbUnVNuVMAUdxx-.jpg,Toronto,positive
7,9.87865E+17,4/22/2018 1:25,b'RT @IsItFOO: Another #Starbucks community upload...\n\n#BoycottStarbucks #dunkindonuts #Philly #BlackTwitter https://t.co/O4BDqh4kzc',http://pbs.twimg.com/media/DbUnVNuVMAUdxx-.jpg,,positive
8,9.87823E+17,4/21/2018 22:37,b'Coach Cal wishes he had this right now #dunkindonuts @CoachCalDotCom #BBN #Kentucky #KSR https://t.co/66KQvQC3Zo',http://pbs.twimg.com/media/DbVzem2UwAAxg2_.jpg,"Flagstaff, Arizona",neutral
9,9.87766E+17,4/21/2018 18:53,b'Coffee talk al fresco.  #lifeisgood #dunkindonuts #nyc https://t.co/x1bLzXQaTk',http://pbs.twimg.com/media/DbVAQb6XUAE68S2.jpg,"New York City, NY",positive
