,ID,Created_at,Text,Media_URL,Location,sentiment
0,9.89855E+17,4/27/2018 13:12,"b'Beat the rain, have a #Starbucks. \xe2\x98\x95\n\n#CoffeeAtPridePark #DCFCfans https://t.co/Z75vMlnbsg'",http://pbs.twimg.com/media/Dbyrlt_V0AAXMbo.jpg,Pride Park Stadium,positive
1,9.89853E+17,4/27/2018 13:05,b'RT @MiraSlama: Who else likes hot chocolate? \xf0\x9f\xa4\x93\xf0\x9f\x91\x8c\xf0\x9f\x8f\xbb\n#starbucks https://t.co/pE68vnHjRz',http://pbs.twimg.com/media/DbxcxgIUwAA8Gl5.jpg,"Oulu, Finland",positive
2,9.89853E+17,4/27/2018 13:05,b'Damn first #starbucks then #WaffleHouse fuck breakfast altogether. https://t.co/jGPCQWipCJ',http://pbs.twimg.com/tweet_video_thumb/DbyqDK-UQAAM5kF.jpg,"Philadelphia, PA",negative
3,9.89853E+17,4/27/2018 13:04,b'RT @MiraSlama: Who else likes hot chocolate? \xf0\x9f\xa4\x93\xf0\x9f\x91\x8c\xf0\x9f\x8f\xbb\n#starbucks https://t.co/pE68vnHjRz',http://pbs.twimg.com/media/DbxcxgIUwAA8Gl5.jpg,"Guadalajara, Jalisco",positive
4,9.89852E+17,4/27/2018 13:02,b'https://t.co/3B5nvkG6vt Being clever while getting a coffee!  #funny #coffee #starbucks https://t.co/IiXdTyhCnX',http://pbs.twimg.com/media/DbypW-WUwAAuHa0.jpg,TX,positive
5,9.89852E+17,4/27/2018 13:01,"b""On this episode of the KC Podcast we're talking about #Starbucks in Disney parks! \xf0\x9f\x8e\x99 #WDW https://t.co/Y5hdJJ09oM https://t.co/XNZUzmjCyS""",http://pbs.twimg.com/media/DbypL-YU0AEwPql.jpg,,positive
6,9.8985E+17,4/27/2018 12:53,b'RT @meredith_bliss: When the person in line ahead of you at #Starbucks orders 8 drinks...\n#FirstWorldProblems https://t.co/7qlf17hw4N',http://pbs.twimg.com/tweet_video_thumb/DbymbpWU8AAH6az.jpg,"Oshawa, Ontario",positive
7,9.89849E+17,4/27/2018 12:50,b'RT @PolToons: Libtards #Starbucks\n#BoycottStarbucks too https://t.co/NaFhkG3RHu',http://pbs.twimg.com/media/DbyNmULWAAUacWA.jpg,,neutral
8,9.89849E+17,4/27/2018 12:49,b'When the person in line ahead of you at #Starbucks orders 8 drinks...\n#FirstWorldProblems https://t.co/7qlf17hw4N',http://pbs.twimg.com/tweet_video_thumb/DbymbpWU8AAH6az.jpg,,positive
9,9.89848E+17,4/27/2018 12:44,b'RT @PolToons: Libtards #Starbucks\n#BoycottStarbucks too https://t.co/NaFhkG3RHu',http://pbs.twimg.com/media/DbyNmULWAAUacWA.jpg,"Florida, Ohio",neutral
10,9.89847E+17,4/27/2018 12:40,b'RT @PolToons: Libtards #Starbucks\n#BoycottStarbucks too https://t.co/NaFhkG3RHu',http://pbs.twimg.com/media/DbyNmULWAAUacWA.jpg,"Omaha, NE",neutral
11,9.89845E+17,4/27/2018 12:33,b'#Starbucks in hand life is good. https://t.co/1xxTJQQ3WF',http://pbs.twimg.com/tweet_video_thumb/Dbyi0tzVwAQWNdw.jpg,Pacific NW,positive
12,9.89843E+17,4/27/2018 12:25,b'RT @maiden16_tor: #ALDUBUmaasaPaRin\n\nWhy not! today ...till close... Treat your self! #Starbucks https://t.co/Ho7w3TzYlh',http://pbs.twimg.com/media/DbvAlvEU0AAZBgt.jpg,,neutral
13,9.89842E+17,4/27/2018 12:20,b'RT @PolToons: Libtards #Starbucks\n#BoycottStarbucks too https://t.co/NaFhkG3RHu',http://pbs.twimg.com/media/DbyNmULWAAUacWA.jpg,Australia & Thailand,neutral
14,9.89841E+17,4/27/2018 12:19,b'RT @PolToons: Libtards #Starbucks\n#BoycottStarbucks too https://t.co/NaFhkG3RHu',http://pbs.twimg.com/media/DbyNmULWAAUacWA.jpg,,neutral
15,9.89841E+17,4/27/2018 12:17,b'RT @PolToons: Libtards #Starbucks\n#BoycottStarbucks too https://t.co/NaFhkG3RHu',http://pbs.twimg.com/media/DbyNmULWAAUacWA.jpg,,neutral
16,9.89839E+17,4/27/2018 12:11,b'RT @PolToons: Libtards #Starbucks\n#BoycottStarbucks too https://t.co/NaFhkG3RHu',http://pbs.twimg.com/media/DbyNmULWAAUacWA.jpg,USA,neutral
17,9.89839E+17,4/27/2018 12:11,b'RT @PolToons: Libtards #Starbucks\n#BoycottStarbucks too https://t.co/NaFhkG3RHu',http://pbs.twimg.com/media/DbyNmULWAAUacWA.jpg,,neutral
18,9.89839E+17,4/27/2018 12:08,b'RT @PolToons: Libtards #Starbucks\n#BoycottStarbucks too https://t.co/NaFhkG3RHu',http://pbs.twimg.com/media/DbyNmULWAAUacWA.jpg,,neutral
19,9.89838E+17,4/27/2018 12:03,b'RT @stephenleary: Rainy day but it doesn\xe2\x80\x99t matter. Every Friday is a Good Friday.\n#Starbucks\n#Cafes\n#Amwriting https://t.co/4O8XODCGnQ',http://pbs.twimg.com/media/DbyWK68XcAcnpf8.jpg,"Montréal, Québec",positive
20,9.89837E+17,4/27/2018 12:02,b'RT @PolToons: Libtards #Starbucks\n#BoycottStarbucks too https://t.co/NaFhkG3RHu',http://pbs.twimg.com/media/DbyNmULWAAUacWA.jpg,Florida/Buffalo NY 🏋🏻🚴🏼‍♀️,neutral
21,9.89837E+17,4/27/2018 12:02,b'RT @PolToons: Libtards #Starbucks\n#BoycottStarbucks too https://t.co/NaFhkG3RHu',http://pbs.twimg.com/media/DbyNmULWAAUacWA.jpg,,neutral
22,9.89835E+17,4/27/2018 11:52,b'RT @iris_xyz: #Lessons From #Starbucks: Public Displays of Bias https://t.co/QobXStvl4Q @InclusionINC https://t.co/2eoQKe8uQH',http://pbs.twimg.com/media/DbyWjkGVwAEFFxK.jpg,"Montréal, Québec",negative
23,9.89834E+17,4/27/2018 11:50,b'RT @PolToons: Libtards #Starbucks\n#BoycottStarbucks too https://t.co/NaFhkG3RHu',http://pbs.twimg.com/media/DbyNmULWAAUacWA.jpg,"Boston, MA",neutral
24,9.89834E+17,4/27/2018 11:48,b'RT @PolToons: Libtards #Starbucks\n#BoycottStarbucks too https://t.co/NaFhkG3RHu',http://pbs.twimg.com/media/DbyNmULWAAUacWA.jpg,,neutral
25,9.89833E+17,4/27/2018 11:46,b'RT @PolToons: Libtards #Starbucks\n#BoycottStarbucks too https://t.co/NaFhkG3RHu',http://pbs.twimg.com/media/DbyNmULWAAUacWA.jpg,,neutral
26,9.89832E+17,4/27/2018 11:43,b'RT @PolToons: Libtards #Starbucks\n#BoycottStarbucks too https://t.co/NaFhkG3RHu',http://pbs.twimg.com/media/DbyNmULWAAUacWA.jpg,,neutral
27,9.89832E+17,4/27/2018 11:40,b'RT @stephenleary: Rainy day but it doesn\xe2\x80\x99t matter. Every Friday is a Good Friday.\n#Starbucks\n#Cafes\n#Amwriting https://t.co/4O8XODCGnQ',http://pbs.twimg.com/media/DbyWK68XcAcnpf8.jpg,Florida,positive
28,9.89832E+17,4/27/2018 11:40,b'#Lessons From #Starbucks: Public Displays of Bias https://t.co/QobXStvl4Q @InclusionINC https://t.co/2eoQKe8uQH',http://pbs.twimg.com/media/DbyWjkGVwAEFFxK.jpg,"Orange County, CA",negative
29,9.89831E+17,4/27/2018 11:38,b'Rainy day but it doesn\xe2\x80\x99t matter. Every Friday is a Good Friday.\n#Starbucks\n#Cafes\n#Amwriting https://t.co/4O8XODCGnQ',http://pbs.twimg.com/media/DbyWK68XcAcnpf8.jpg,USA,positive
